Month,Inbound Calls,Average Speed of Answer in Secs,Abandoned Calls,Call Abandonment Rate
09/01/2019 00:00,3872,24,58,1.5
08/01/2019 00:00,3619,22,48,1.3
07/01/2019 00:00,3763,24,43,1.1
06/01/2019 00:00,3345,14,31,0.9
05/01/2019 00:00,3659,12,28,0.8
04/01/2019 00:00,3682,20,37,1
03/01/2019 00:00,3717,16,30,0.8
02/01/2019 00:00,3916,19,42,1.1
01/01/2019 00:00,5276,15,46,0.9
12/01/2018 00:00,5837,21,57,1
11/01/2018 00:00,4193,20,37,0.9
10/01/2018 00:00,11924,28,217,1.79
09/01/2018 00:00,5205,18,63,1.2
08/01/2018 00:00,4953,14,37,0.74
07/01/2018 00:00,4361,13,43,0.98
06/01/2018 00:00,4507,11,40,0.88
05/01/2018 00:00,5121,12,50,0.97
04/01/2018 00:00,4626,11,30,0.64
03/01/2018 00:00,3879,11,22,0.56
02/01/2018 00:00,3754,10,26,0.69
01/01/2018 00:00,5035,16,49,0.96
12/01/2017 00:00,5478,29,76,1.37
11/01/2017 00:00,3821,31,64,1.65
10/01/2017 00:00,11333,73,594,4.98
09/01/2017 00:00,3495,13,31,0.88
08/01/2017 00:00,3166,13,25,0.8
07/01/2017 00:00,3282,28,53,1.6
06/01/2017 00:00,3425,32,65,1.9
05/01/2017 00:00,3402,16,28,0.8
04/01/2017 00:00,3084,14,29,0.9
03/01/2017 00:00,4521,11,33,0.7
02/01/2017 00:00,4122,16,53,1.3
01/01/2017 00:00,5438,34,105,1.9
12/01/2016 00:00,5705,77,340,5.6
11/01/2016 00:00,4052,28,58,1.4
10/01/2016 00:00,9943,31,225,2.2
09/01/2016 00:00,5012,27,91,1.8
08/01/2016 00:00,3607,16,34,0.9
07/01/2016 00:00,3153,25,43,1.3
06/01/2016 00:00,3552,31,77,2.1
05/01/2016 00:00,2740,15,25,0.9
04/01/2016 00:00,3184,14,36,1.1
03/01/2016 00:00,3786,14,32,0.8
02/01/2016 00:00,3695,15,46,1.2
01/01/2016 00:00,4133,39,140,3.3
12/01/2015 00:00,4676,20,52,1.1
11/01/2015 00:00,3288,13,36,1.1
10/01/2015 00:00,7625,28,142,1.8
09/01/2015 00:00,3715,10,29,0.8
08/01/2015 00:00,3073,10,21,0.7
07/01/2015 00:00,3611,7,18,0.5
06/01/2015 00:00,3361,9,27,0.8
05/01/2015 00:00,2716,8,9,0.3
04/01/2015 00:00,3957,8,22,0.6
03/01/2015 00:00,3298,9,21,0.6
02/01/2015 00:00,3367,10,23,0.7
01/01/2015 00:00,5070,13,127,2.4
12/01/2014 00:00,4403,14,34,0.8
11/01/2014 00:00,3153,10,21,0.7
10/01/2014 00:00,6674,10,56,0.8
09/01/2014 00:00,3725,9,13,0.3
08/01/2014 00:00,3104,12,23,0.7
07/01/2014 00:00,4563,14,49,1.1
06/01/2014 00:00,3288,12,17,0.5
05/01/2014 00:00,2897,10,34,1.2
04/01/2014 00:00,3535,12,21,0.6
03/01/2014 00:00,3332,13,39,1.2
02/01/2014 00:00,3187,16,25,0.8
01/01/2014 00:00,4150,13,66,1.6
12/01/2013 00:00,5274,49,210,3.8
11/01/2013 00:00,4340,20,44,1
10/01/2013 00:00,6452,18,60,0.9
09/01/2013 00:00,4108,26,57,1.4
08/01/2013 00:00,3138,15,27,0.9
07/01/2013 00:00,3898,20,51,1.3
06/01/2013 00:00,3034,20,30,1
05/01/2013 00:00,3317,20,37,1.1
04/01/2013 00:00,3331,20,45,1.3
03/01/2013 00:00,3926,37,80,2
02/01/2013 00:00,3566,106,271,7
01/01/2013 00:00,6481,224,969,9
12/01/2012 00:00,3864,80,233,3.8
11/01/2012 00:00,4455,83,219,1
10/01/2012 00:00,6771,28,120,0.9
09/01/2012 00:00,3153,23,54,1.4
08/01/2012 00:00,3585,24,46,0.9
07/01/2012 00:00,3682,24,67,1.3
06/01/2012 00:00,3242,14,38,1
05/01/2012 00:00,3325,15,44,1.1
04/01/2012 00:00,5637,21,102,1.7
03/01/2012 00:00,3893,29,83,2
02/01/2012 00:00,3117,21,43,1.3
01/01/2012 00:00,2970,17,41,1
12/01/2011 00:00,2584,22,37,5.7
11/01/2011 00:00,2763,21,45,4.7
10/01/2011 00:00,2752,18,40,1.7
09/01/2011 00:00,3101,29,62,1.7
08/01/2011 00:00,3472,44,100,1.3
07/01/2011 00:00,3685,43,82,1.8
06/01/2011 00:00,3790,62,164,1.2
05/01/2011 00:00,3559,49,130,1.3
04/01/2011 00:00,6009,29,110,1.8
03/01/2011 00:00,4379,29,72,2.1
02/01/2011 00:00,2520,18,30,1.4
01/01/2011 00:00,3171,25,45,1.4
