Inbound Calls,Average Speed of Answer in Secs,Abandoned Calls,Call abandoment rate classification
3872,24,58,Medium
3619,22,48,Medium
3763,24,43,Medium
3345,14,31,Low
3659,12,28,Low
3682,20,37,Medium
3717,16,30,Low
3916,19,42,Medium
5276,15,46,Low
5837,21,57,Medium
4193,20,37,Low
11924,28,217,Medium
5205,18,63,Medium
4953,14,37,Low
4361,13,43,Low
4507,11,40,Low
5121,12,50,Low
4626,11,30,Low
3879,11,22,Low
3754,10,26,Low
5035,16,49,Low
5478,29,76,Medium
3821,31,64,Medium
11333,73,594,Extremely high
3495,13,31,Low
3166,13,25,Low
3282,28,53,Medium
3425,32,65,Medium
3402,16,28,Low
3084,14,29,Low
4521,11,33,Low
4122,16,53,Medium
5438,34,105,Medium
5705,77,340,Extremely high
4052,28,58,Medium
9943,31,225,High
5012,27,91,Medium
3607,16,34,Low
3153,25,43,Medium
3552,31,77,High
2740,15,25,Low
3184,14,36,Medium
3786,14,32,Low
3695,15,46,Medium
4133,39,140,High
4676,20,52,Medium
3288,13,36,Medium
7625,28,142,Medium
3715,10,29,Low
3073,10,21,Low
3611,7,18,Low
3361,9,27,Low
2716,8,9,Low
3957,8,22,Low
3298,9,21,Low
3367,10,23,Low
5070,13,127,High
4403,14,34,Low
3153,10,21,Low
6674,10,56,Low
3725,9,13,Low
3104,12,23,Low
4563,14,49,Medium
3288,12,17,Low
2897,10,34,Medium
3535,12,21,Low
3332,13,39,Medium
3187,16,25,Low
4150,13,66,Medium
5274,49,210,High
4340,20,44,Medium
6452,18,60,Low
4108,26,57,Medium
3138,15,27,Low
3898,20,51,Medium
3034,20,30,Medium
3317,20,37,Medium
3331,20,45,Medium
3926,37,80,High
3566,106,271,Extremely high
6481,224,969,Extremely high
3864,80,233,High
4455,83,219,Medium
6771,28,120,Low
3153,23,54,Medium
3585,24,46,Low
3682,24,67,Medium
3242,14,38,Medium
3325,15,44,Medium
5637,21,102,Medium
3893,29,83,High
3117,21,43,Medium
2970,17,41,Medium
2584,22,37,Extremely high
2763,21,45,Extremely high
2752,18,40,Medium
3101,29,62,Medium
3472,44,100,Medium
3685,43,82,Medium
3790,62,164,Medium
3559,49,130,Medium
6009,29,110,Medium
4379,29,72,High
2520,18,30,Medium
3171,25,45,Medium
